n,k,comparisons,swaps
10,1,24,34
10,2,22,34
10,3,22,34
10,4,25,34
10,5,24,34
10,6,22,34
10,7,24,34
10,8,25,34
10,9,22,34
10,10,22,34
10,11,23,34
10,12,23,34
10,13,25,34
10,14,21,34
10,15,22,34
10,16,22,34
10,17,24,34
10,18,24,34
10,19,21,34
10,20,23,34
10,21,22,34
10,22,20,34
10,23,22,34
10,24,23,34
10,25,21,34
10,26,22,34
10,27,23,34
10,28,22,34
10,29,22,34
10,30,24,34
10,31,21,34
10,32,23,34
10,33,25,34
10,34,24,34
10,35,22,34
10,36,24,34
10,37,22,34
10,38,25,34
10,39,23,34
10,40,22,34
10,41,21,34
10,42,22,34
10,43,25,34
10,44,24,34
10,45,21,34
10,46,22,34
10,47,24,34
10,48,23,34
10,49,24,34
10,50,20,34
10,51,23,34
10,52,24,34
10,53,24,34
10,54,24,34
10,55,22,34
10,56,22,34
10,57,23,34
10,58,23,34
10,59,22,34
10,60,25,34
10,61,23,34
10,62,23,34
10,63,24,34
10,64,24,34
10,65,23,34
10,66,24,34
10,67,22,34
10,68,22,34
10,69,19,34
10,70,24,34
10,71,25,34
10,72,22,34
10,73,24,34
10,74,24,34
10,75,23,34
10,76,21,34
10,77,21,34
10,78,25,34
10,79,23,34
10,80,21,34
10,81,24,34
10,82,23,34
10,83,24,34
10,84,24,34
10,85,22,34
10,86,25,34
10,87,22,34
10,88,22,34
10,89,23,34
10,90,23,34
10,91,23,34
10,92,23,34
10,93,21,34
10,94,21,34
10,95,21,34
10,96,23,34
10,97,23,34
10,98,22,34
10,99,22,34
10,100,25,34
20,1,64,88
20,2,66,88
20,3,59,88
20,4,63,88
20,5,64,88
20,6,63,88
20,7,63,88
20,8,61,88
20,9,64,88
20,10,64,88
20,11,60,88
20,12,62,88
20,13,62,88
20,14,64,88
20,15,66,88
20,16,62,88
20,17,65,88
20,18,67,88
20,19,63,88
20,20,64,88
20,21,62,88
20,22,66,88
20,23,66,88
20,24,66,88
20,25,62,88
20,26,63,88
20,27,67,88
20,28,65,88
20,29,69,88
20,30,59,88
20,31,62,88
20,32,66,88
20,33,66,88
20,34,59,88
20,35,64,88
20,36,66,88
20,37,63,88
20,38,66,88
20,39,61,88
20,40,64,88
20,41,65,88
20,42,66,88
20,43,60,88
20,44,63,88
20,45,65,88
20,46,64,88
20,47,60,88
20,48,60,88
20,49,63,88
20,50,62,88
20,51,65,88
20,52,64,88
20,53,64,88
20,54,63,88
20,55,67,88
20,56,68,88
20,57,62,88
20,58,65,88
20,59,63,88
20,60,65,88
20,61,64,88
20,62,62,88
20,63,66,88
20,64,63,88
20,65,67,88
20,66,63,88
20,67,66,88
20,68,66,88
20,69,61,88
20,70,66,88
20,71,60,88
20,72,62,88
20,73,61,88
20,74,62,88
20,75,64,88
20,76,67,88
20,77,63,88
20,78,62,88
20,79,61,88
20,80,67,88
20,81,64,88
20,82,67,88
20,83,66,88
20,84,58,88
20,85,60,88
20,86,62,88
20,87,65,88
20,88,65,88
20,89,66,88
20,90,61,88
20,91,65,88
20,92,67,88
20,93,61,88
20,94,65,88
20,95,63,88
20,96,65,88
20,97,65,88
20,98,63,88
20,99,66,88
20,100,63,88
30,1,116,148
30,2,110,148
30,3,109,148
30,4,115,148
30,5,113,148
30,6,111,148
30,7,115,148
30,8,113,148
30,9,116,148
30,10,113,148
30,11,111,148
30,12,107,148
30,13,112,148
30,14,113,148
30,15,113,148
30,16,106,148
30,17,113,148
30,18,113,148
30,19,111,148
30,20,115,148
30,21,114,148
30,22,112,148
30,23,113,148
30,24,109,148
30,25,114,148
30,26,111,148
30,27,109,148
30,28,111,148
30,29,109,148
30,30,110,148
30,31,114,148
30,32,115,148
30,33,107,148
30,34,109,148
30,35,111,148
30,36,110,148
30,37,114,148
30,38,112,148
30,39,109,148
30,40,111,148
30,41,112,148
30,42,109,148
30,43,112,148
30,44,116,148
30,45,110,148
30,46,114,148
30,47,114,148
30,48,114,148
30,49,107,148
30,50,113,148
30,51,110,148
30,52,116,148
30,53,114,148
30,54,117,148
30,55,113,148
30,56,112,148
30,57,113,148
30,58,114,148
30,59,112,148
30,60,110,148
30,61,115,148
30,62,109,148
30,63,112,148
30,64,116,148
30,65,116,148
30,66,109,148
30,67,109,148
30,68,112,148
30,69,105,148
30,70,115,148
30,71,113,148
30,72,112,148
30,73,116,148
30,74,111,148
30,75,116,148
30,76,106,148
30,77,106,148
30,78,114,148
30,79,112,148
30,80,113,148
30,81,114,148
30,82,110,148
30,83,111,148
30,84,112,148
30,85,113,148
30,86,117,148
30,87,113,148
30,88,105,148
30,89,112,148
30,90,112,148
30,91,112,148
30,92,108,148
30,93,115,148
30,94,114,148
30,95,108,148
30,96,114,148
30,97,113,148
30,98,111,148
30,99,116,148
30,100,114,148
40,1,164,216
40,2,162,216
40,3,169,216
40,4,166,216
40,5,165,216
40,6,164,216
40,7,167,216
40,8,167,216
40,9,167,216
40,10,159,216
40,11,161,216
40,12,161,216
40,13,164,216
40,14,160,216
40,15,173,216
40,16,154,216
40,17,166,216
40,18,165,216
40,19,168,216
40,20,163,216
40,21,167,216
40,22,170,216
40,23,162,216
40,24,163,216
40,25,165,216
40,26,163,216
40,27,163,216
40,28,167,216
40,29,170,216
40,30,168,216
40,31,165,216
40,32,163,216
40,33,163,216
40,34,172,216
40,35,161,216
40,36,172,216
40,37,170,216
40,38,173,216
40,39,167,216
40,40,164,216
40,41,164,216
40,42,165,216
40,43,163,216
40,44,167,216
40,45,171,216
40,46,158,216
40,47,170,216
40,48,154,216
40,49,165,216
40,50,165,216
40,51,161,216
40,52,168,216
40,53,171,216
40,54,165,216
40,55,170,216
40,56,164,216
40,57,169,216
40,58,165,216
40,59,166,216
40,60,163,216
40,61,161,216
40,62,165,216
40,63,164,216
40,64,163,216
40,65,168,216
40,66,170,216
40,67,166,216
40,68,167,216
40,69,166,216
40,70,160,216
40,71,165,216
40,72,164,216
40,73,170,216
40,74,168,216
40,75,169,216
40,76,172,216
40,77,163,216
40,78,166,216
40,79,167,216
40,80,160,216
40,81,167,216
40,82,163,216
40,83,170,216
40,84,168,216
40,85,160,216
40,86,167,216
40,87,167,216
40,88,166,216
40,89,157,216
40,90,165,216
40,91,170,216
40,92,168,216
40,93,166,216
40,94,170,216
40,95,164,216
40,96,162,216
40,97,169,216
40,98,164,216
40,99,167,216
40,100,172,216
50,1,222,286
50,2,220,286
50,3,224,286
50,4,222,286
50,5,219,286
50,6,223,286
50,7,221,286
50,8,230,286
50,9,219,286
50,10,223,286
50,11,216,286
50,12,220,286
50,13,218,286
50,14,227,286
50,15,220,286
50,16,223,286
50,17,221,286
50,18,222,286
50,19,221,286
50,20,224,286
50,21,215,286
50,22,226,286
50,23,219,286
50,24,226,286
50,25,215,286
50,26,221,286
50,27,223,286
50,28,224,286
50,29,224,286
50,30,226,286
50,31,217,286
50,32,221,286
50,33,221,286
50,34,227,286
50,35,219,286
50,36,221,286
50,37,206,286
50,38,224,286
50,39,220,286
50,40,225,286
50,41,218,286
50,42,223,286
50,43,226,286
50,44,229,286
50,45,219,286
50,46,221,286
50,47,225,286
50,48,222,286
50,49,214,286
50,50,220,286
50,51,219,286
50,52,226,286
50,53,210,286
50,54,226,286
50,55,228,286
50,56,225,286
50,57,215,286
50,58,227,286
50,59,220,286
50,60,221,286
50,61,225,286
50,62,222,286
50,63,224,286
50,64,224,286
50,65,223,286
50,66,222,286
50,67,223,286
50,68,224,286
50,69,224,286
50,70,226,286
50,71,221,286
50,72,221,286
50,73,221,286
50,74,216,286
50,75,220,286
50,76,228,286
50,77,223,286
50,78,223,286
50,79,223,286
50,80,223,286
50,81,225,286
50,82,231,286
50,83,218,286
50,84,222,286
50,85,228,286
50,86,219,286
50,87,221,286
50,88,213,286
50,89,222,286
50,90,224,286
50,91,220,286
50,92,215,286
50,93,222,286
50,94,230,286
50,95,222,286
50,96,219,286
50,97,217,286
50,98,229,286
50,99,224,286
50,100,227,286
